TransactionNumber,LineNumber,InvoiceDate,AccountingDate,PostingDate,VendorName,VendorCountry,VendorVatId,CustomerName,CustomerCountry,CustomerVatId,Currency,BaseAmount,TaxAmount,TaxRate,ShipToCountry,ShipFromCountry,LineDescription
#}%$,jOnF,13/13/2013,28-Apr-2025,   ,,NLD ,©PA_62FRCEVAT,SpA  Limited  CoSpA  Limited  CoSpA  Limited  CoSpA  Limited  CoSpA  Limited  Co,123,N/A,SEK,-71743327203.24707,"'99,99'",5.0%,Netherlands,N L,Freight charges
!*,54,2018/09/19,null,2026-05-08T25:61:61,"LLC , Partners , BV , Global£",Spain,€ZAXZCOOORMMDVF,NV LLC BV,,NLBB NLBB,EUR,119112.15,23822.43,0.2,PL,CA,Freight charges
0995729670,207,2022-10-01 15:42:30,10/16/2016,00/00/0000,₹Sarl GmbH Holdings Inc,BE,BE0783743784266507837437842665,BV Global OR 1=1,CN,X,NOK,435193.41 ,156759.11,-0.7288823916942917,BR,Germnay,???
gr3YPIuJGbCh,TZ,30.07.2016,26.06.1972,31/02/2026,Holdings  Inc,ZA,ZAVJ,™™Oy Inc Inc Holdings Global££😀,JP,JPQ87ROEWE637H,,310490.30,262144.00,twenty one percent,CHN,Belgium,"😀Export zero-rated | Ro7JSPIcmZqha1CkFkfcRwyxDUn4mgDPkzTbv1v LV5nCXOf"
"*,(}|@/*?)^",404,12/05/2020,03/05/2021,25.05.2027,"Co , Limited , Co , GmbH'",DEU,,Holdings GmbH SpAHoldings GmbH SpAHoldings GmbH SpAHoldings GmbH SpAHoldings GmbH SpAHoldings GmbH SpA,CN,0HM69RCF8JSQJ_UD.LRR.9/N4VAT,AUD,0xFF,0xFF,"0,21",United Kingdom,Germnay,Office suppliesOffice suppliesOffice suppliesOffice suppliesOffice suppliesOffice suppliesOffice suppliesOffice suppliesOffice suppliesOffice suppliesOffice supplies
37lkRIvAC,227,03-Aug-2021,16.09.2021,1/1/1,S.A. Oy OR 1=1,NO,,£🚀₹Inc  Global  Limited  B.V. OR 1=1Inc  Global  Limited  B.V. OR 1=1🚀,South Africa,,CNY,--123,405144.87,0.19,Brazil,AU,Intra-EU acquisition
000202039808,265,13/13/2013,2016-08-15 12:55:55,19/01/2023,Holdings K.K.,IE,7SQ,Holdings Limited,PL,Y,CAD,227217.00,22722.08,10.0,IT,Germnay,Manual journal entry
!|.;].*/%$,2421,2026-00-10,20-Jun-2025,2026-2-30,GmbH  Inc  Co  Holdings,Nederland,_87X6HK7C,Inc Trading Global K.K.,123,CNK6FGSRXF,CAD,439310.22,92255.15,"21,0%",Holland,Sweden,Rounding diff | 6IsdHH11H0gJ7U5eXd6U 9rjPpgztXtab	inside
786652606,Rx7G,08/13/2017 UTC,2023-12-17,02-Aug-2015,StLLEgeRK4SgRywWfUhMedUXmkuZdg8,PL,PLVDRE6,SpA	Holdings	Oy	SpA	LLC,,NYI,PLN,"1,2,3",340504.06,100,IE,NLD ,£®₹Consulting services😀€
lGXQZtArjE1dn,167,1/1/1,N/A,2017-01-21,GmbH K.K. Global GlobalGmbH K.K. Global GlobalGmbH K.K. Global Global,IN,IN7L,Sarl Trading Trading,CN,CN45X83SUR@DZB8ORCMV9E,CAD,232027.06,46405.41,20.0%,IT,France,"Reverse charge appliesline
break"
726862997,73.96,2017-12-10 20:57:11,20161228,13/13/2013,"¥B.V. Sarl Global Inc	",NLD,GB6Y1TO7TEJRTFFO,sIk-GAWlpPjmEv0N9oPxh1PEBZOI2,ZA,B1X7EWUX0067B2P,NOK,1e309,0xFF,0.05,123,AUS,£😀🚀Export zero-rated😀
,418,2020/12/04,20151204,28.06.2025,"Trading , S.A. , Limited , Oy , LLC",ZA,😀ZAHW5X26FF0GRK,,BR,BREEUV3 BREEUV3,CAD,186089.06,39078.70,21%%,Netherlands,BE,Import VAT
000311370246,161,N/A,2016/04/28,2015/09/22,LLC B.V.,🇳🇱,VATYGCENY,Holdings GmbH LLC BV K.K.,NO,N/LUD9WDEPXM3I.1JY/J5BSPM,SEK,"£- 123,45","1,2,3","0,21",Netherland,JP,Payment fee
,,26/09/2023,23/12/2022,2015-08-25,Inc Global Holdings,NLD ,O5CR1ES_IFLPM1VVAT,"©K.K. Oy",US,USDBY3DZB2NB1NOL,CNY,ten%,4.801720746266077e-06,0.05,GB,ES,Rounding diff;DROP TABLE T;
TXN-AltDv7pYi,411,05.04.2026,01/28/2019,N/A,"
€Sarl K.K. LLC Global Global🚀©£",IN,IN0Q2JDFGBXZYI9Z,Trading	&	S.A.	NV,NO,VATNOYGP8FQQY7P8MXB,EURO,"1,2,3",USD 401766.99 ,-3.065579530387912,🇳🇱,CN,Freight charges
0479953093,79,12/30/2019,2021-07-22 13:35:19,24-Jun-1967,Co NV,SE,N/A,   ,JP,JPAFJIUGTEJ2VAT,NOK,-313914512135.4702,-59643757305.74,19.0,JP,DE,Reverse charge applies | oaqIampuLx
)|\!/,248,08/05/2024,29/02/2025,04-Jun-2019 UTC,Sarl SpA Trading LLC LLC,AUS,/2005DK-O,Inc S.A. Holdings B.V. SpA,FRA,BE-71178636272103-,INR,1e309,inf,21%%,ZA,XX,Reverse charge applies
"\.(*@,#],\#",439,08-05-26,04/04/2016,20150126,,CA,/HNVI1,"Limited
NV
B.V.
Partners",Spain,GB 707086915, USD,"€326,910.21",N/A,10.0%,JP,CA,Freight charges
149041596,365,null,09/03/2027,2026-00-10,K.K. &,US,£€USHGG9S3N4,Co BV Co,CHN,JXR1U/5NN/U3REO9_KKPCKD.BVAT,CHF,324 985.82,434125716376.63995,0.05,US,NO,Manual journal entry
,260,16/10/2016,20160207,2023-07-08,"S.A.
Co",IE,IE12739,Inc BV SpA Co Limited,Spain,,GBP,1e309,nan,0,IN,Germnay,"Consulting services""unclosed"
0729401167,FH3D,15/01/2018,18-Oct-2015,31/02/2026,SpA NV NV GmbH BV,,,,GB,GBDOBJBOCQ036Q8S,,309753.91,€233374.63,NaN,NL,N L,Manual journal entry
000832662589,-26,2018/04/04,2026.05.08.12.99.00,2022-12-03,"Holdings	&	Sarl	K.K.""",JP,N/A,Partners B.V. SpA S.A.,ES,NW/,JPY¥,38675.51,€8122.61,2 1 %,FR,IN,Adjustment / credit note
0962055743,cGb,20220711,2019/08/25,08-05-26,Global Inc NV,IT,IT26513437I,Limited NV & Co,US,,EUR,"177857,68",12450.04,7.000000000000001,AU,Brazil,
0155410605,327,null,"May 35, 2026",04/08/2025,Limited B.V. Trading OR 1=1,CA,CA7EB0@7RC73I8VAT,"GmbH , Oy , GmbH",NL,,JPY,-5853529053.977539,0.000708960424830816,,US,GB,🚀	Intra-EU acquisition | dTlJUeYKSLZwJonCxqq1eQa4F6V9H9rfm2duXqH	©
75395764,351,28.08.2025,12/16/2017,07/12/2016,EpdAW-FUXoT8Eusn3gKaYr_QRJksR0mnRO,AE,AEO0BZB5X6IB,"B.V. , SpA®",Spain,🚀JP03UP3KBSGR,NOK,157498.81,€14174.89,9.0%,UAE,Germnay,"Import VAT""unclosed"
476993176,3442,"""21-Dec-2024",2026-2-30,20220224,& Limited SpA,IND,XM9TJ0GM_,Limited NV LLC,IE,IE36066530109518FZK36066530109518,SEK,176 812.65 EUR,714248278767.339,twenty one percent,ES,Netherland,Intra-EU acquisition
}:*),373,03/09/2022 UTC,29/02/2025,2026-13-01,& B.V. Global Global LLC& B.V. Global Global LLC& B.V. Global Global LLC& B.V. Global Global LLC& B.V. Global Global LLC,IT,IT1755509BL,Holdings Inc BV,CA,CA7L973JJPFD,E_U_R,-185513097563.12805,€145906412120.71,-0.7865019453467799,N L,IE,Software license
5nl4uowA,C0,2024/04/28,2016-06-27,11/10/2025,   ,123,LA420CM8L-5.P/2,"Global
&
Trading
&",United States,IE1745937057306,NOK,113883.48,23915.53,"0,21",Canada,123,Software license
)#\,hi,2026/06/29,16/07/2017,20210604,"B.V. K.K. SpA,",IE,IE528613136,Limited	NV --,POL,3P8O9IJSHUBSB4I,USD,0.0003341509339072199,0.03,9999,CAN,XX,Office supplies
0318086552,10,2018/09/21,13.12.2022 (local),2027-11-24 13:20:14,Holdings Co BV &,ZA,,BV Co,NO,NOI9C34COGH23@@T,CAD,,946588229660.2599,-,Japan,CA,Import VAT
148363940,fEki,2026-01-23 +02:00,2026/05/24,9999-99-99,"Oy Holdings SpA Co,",🇳🇱,Q,£©LLC & LLC NV,DE/FR,HHJV5SVONRYR7GH,GBP,one hundred,213355.87,21%%,US,China,Exempt supply
631610132,UupdtV,2024-01-07 00:34:46,07/14/2017,2065/03/22,& Holdings /*test*/& Holdings /*test*/& Holdings /*test*/& Holdings /*test*/& Holdings /*test*/& Holdings /*test*/,IN,J/MTV14KI,,United States,/I54X-D1H,CNY,--123,"1 234 567,89",0%,ES,IN,Export zero-rated
187799491,188,31/02/2026,N/A,2026/99/01,BV Global & SpA,JP,¥🚀😀JPQVFUX171K0,Co Sarl GmbH Limited K.K.,FR,FR87881173323252P49,E_U_R,0xFF,"£- 123,45","21,0%",???,JP,Consulting services
)):{%:\:|,421,2021-03-18,2026-00-10,2021-11-27 20:36:37,"₹Trading , Holdings",XX,XXJEP02CKRIHWY,nUd2dzgWdK70OikBoRt07ar8i1faklpBpN3BiQA,Italy,FR 81275960045630,CHF,"409129,06",36821.62,0.09,NL,DE,Manual journal entryManual journal entryManual journal entryManual journal entryManual journal entryManual journal entryManual journal entryManual journal entryManual journal entryManual journal entryManual journal entryManual journal entryManual journal entryManual journal entryManual journal entryManual journal entryManual journal entryManual journal entryManual journal entryManual journal entry
000337998033,u5AT,16/05/2027,2026-13-01,9999-99-99,LLC	SpA	Sarl	Oy,,USGQKV63OZURH7ZW,LLC B.V. Co & /*test*/,,UNKNOWN,USD,0.0005291838689506017,0.00,0.09,Brazil,PL,"Import VAT | lAVKmRYQB02uVdIxbNCRUsbVFdtioDQk6ckCDOHcomma,inside"
8G4ttbe,346,08.01.2020,2015-10-22 04:04:01,05/14/2027,"SpA
Trading
NV
SpA
&;",N L,T4KX_B5VHBNDZ4FS2H-0D5T1F,,  ,VATCAC8K2Y88R75Z@PZ,EUR,"1 234 567,89",259259.26, 0.2100 ,United Kingdom,NL,???
803001745,418,'03/05/2016',02/07/2016,20180729 GMT+2,SpA NV Partners Global NVSpA NV Partners Global NVSpA NV Partners Global NV,JP,JP0SMDFQLU,"Inc , SpA , S.A.",UAE,ADT,USD,"181,436.03",1e309,0.1,USA,ZA,"Reverse charge appliescomma,inside"
000628199136,2uFXc,20.03.2015,14-Jul-2026,2024/01/25,& Partners,PL,PLFXZFN5ZJD3YCIG20E4@T,,  ,J,,0.00031320769646436396,0.0005569525002352963,twenty one percent,GB,BE,Payment fee | HWG7DOQTIauCN1MqXOzc
#>%{$},256,06/06/2016,03/15/2016,,S.A. LLC Inc,🇳🇱,AEHR,Ep/lVaGvKhsYDyNZ8MTSi1wt-9mrEckEk,,1VAT,CAD,-258690482846.00476,-23282143463.13,0.09,CAN,IN,Consulting services¥
[}>,njBx,17.01.2027 (local),20210511,2015-05-23 08:18:17,"¥	& B.V. Oy Sarl Sarl& B.V. Oy Sarl Sarl& B.V. Oy Sarl Sarl& B.V. Oy Sarl Sarl& B.V. Oy Sarl Sarl
",Australia,-0DT72,SpA Oy,JPN,NO25W3GMGMLL8J,GBP,"""123.45""",653261743495.9048,6.485752074310427,China,Spain,"Rounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
breakRounding diff | t5UqMWcBRouJcTd16vOacywSiK3yaSJvuJxby6FWzline
break"
TXN-2e0WLU,98,2026-04-31,2026-13-01,   ,   ,Belgium,AJ7YI.,LLC Oy Global Limited,CN,Q4JPXR,JPY,217 462.53, (123.45) ,21.0%,SE,NL,Exempt supply
{.!,VLNdp,9999-99-99,20161029,30-Apr-2019,"Trading
NV
Trading",FR,FRVA,Oy BV NV S.A.,Norway,YY-1MNACCVAT,E_U_R,1e309,inf,0.1,GB,IN,Software license
0576914217,-41,08-05-26,10-Jan-2016,2022/08/02,S.A. LLC Global SpA Limited🚀¥¥,ZA,ME_9E9JQU,Partners S.A.,Netherlands,"😀
CASRFSPCHEII CASRFSPCHEII",CHF,350181.70,€73538.16,"21,0%",Netherland,Netherlands,Consulting services
000374128093,385,12-Feb-2025,10/07/2098,20260415,K.K.	B.V.	Partners	Holdings,123,QV-WL4J6BMZ5VYI,Partners SpA GmbH;,BE,BEPCALLGKGTQ,EUR,89138.90,0.00013048709986178587,0.0%,ES,AE,Payment fee
0222387836,117,2027-11-18,,,,PL,PL1FYGPDVVL620,N6Q4zU1gF2Q,FR,8-E,CAD,"261443,08",€11824.39,4.522739449104746,123,Ireland,Export zero-rated
^&^,264,1937-06-28 09:13:04Z,01/11/2017 +02:00,2023-08-07 10:55:54,"Holdings Global S.A. Limited S.A.",SE,SEI18AMAKHVVQ09J,Limited LLC,NLD ,,USD,0.0008652358899752192,0.00,0.05,AU,CN,Office supplies | xZUSqu17v8pxppSd6cYayIbglwtt7D
0052654667,tqW1Au,2078-09-03 22:04:28,29/02/2025,08.03.2021,cr7qsWCUhK0DujOPmsMBI0i2iI4SJ,ZA,ZAYJ1QUJXWA85MUL,"🚀
S.A. S.A.₹😀",China,VATL0FBX/,SEK,462276685929.66956,26529127778.65,5.738798554575665,SE,Germnay,"Manual journal entry	😀"
887246883,125,11-Mar-2018,2025-11-11 00:45:27,,©Trading  NV  Limited  LLC  SpATrading  NV  Limited  LLC  SpATrading  NV  Limited  LLC  SpATrading  NV  Limited  LLC  SpATrading  NV  Limited  LLC  SpATrading  NV  Limited  LLC  SpA€,IE,IE02028561681,Co Partners NV,NO,NOQG5WZLPI6X3DDW,NOK,478331.96,100449.71,"0,21",CHN,POL,"Reverse charge applies | Yv2ddvOuQX1jCd4AYfoAocomma,inside"
862976193,352,26/12/2026 UTC,2027/01/20,25.01.2026,SpA Partners S.A.SpA Partners S.A.SpA Partners S.A.,,ZA84SLGL7@R8,		¥LLC &£,France,QI_H.-WY9 QI_H.-WY9,CHF,--123,ten%,10.0%,???,GB,Intra-EU acquisition
$?][){,165,N/A,13/13/2013,29/10/1968,™®B.V. Limited SpA Holdings K.K.,CA,CAP5B9R4ZA5GRPKUURS311VAT,GmbH Holdings,NO,,CHF,Infinity,12..34,0.19,ES,IE,N/A
7jrC35SQgHHEVm79,114,,04.08.2020,20240819,Co Trading LLC B.V.Co Trading LLC B.V.,AE,N/A,BV GmbH NV SpA S.A.,ES,ES-114020223-Y22,CHF,0.0007424901817219869,€-7.22,100,United States,XX,"Payment fee | QgDD6VzVPPLkmlQZVwoZEvfOc7s6ZKxyDIqLNbJuu7dJPfNFXPjva1CLbEcomma,inside"
)|[.#}/*},240,2023/06/17,2020/02/20,07-Mar-2021,K.K. Partners,Norway,8R26P-5P0,Co & Limited S.A.,Nederland,VQ3W6DMI_CD0AF8Z70SHO9T2Y,JPY,-Infinity,"1 234 567,89", ,IT,Belgium,Manual journal entry | suWEzlruxxllsQZysSlWAcyz82620pRDab9 g2n0rDvNXK1dOgZ
000633753583,276,28.12.2022,27-Mar-2017,2026-03-30 11:34:25,Co NV & SpA &Co NV & SpA &,DE,DESO1PRO97MMV87SB0AYJG,K.K.	Trading,DE,,CHF,481.158.41,352843.43,21.0%,JP,,"Manual journal entry | mU8sDT57qczZ5MWylbzU TGtkD1LfSxdjA4lGZDvMo25qGp805jLbMline
break"
,2698,2026-2-30,2024/03/31,09/13/2017Z,,FRA,IT0772378201V8,Oy GmbH',PL,PLPFHEJ42H73F0U9VINEHK,,GBP 2142.87,€456.95,"0,21",NL,CN,N/A
YS3Ej2LkijZhGhK,29.50,13/13/2013,20230915,13/13/2013,Co Holdings Partners Sarl B.V. /*test*/,BE,N/A,B.V. Inc,India,_5EVT2OR2,NOK,-185327384291.97266,€-18532738429.20,0.1,France,AU,
000000,NaN,   ,2017-10-03,"May 35, 2026","Holdings B.V. GmbH""©",BE,BEUHL6BC4F2GBQLK6809MPVAT,Sarl S.A. OR 1=1,ZA,ZA9J,AUD,0.00044765833420305914,"112914,60",100,DE,???,Intra-EU acquisition | nPrDV0hHyKyfMqJpeZPk 3
/\);^],one,00/00/0000,2024-07-22,24/03/2023,By1Tu-mkH3_TpQBeU10N,IE,WTOSCH/YWVAT,Sarl Holdings Holdings Holdings,BR,BRO71KBRRJPN,JPY,-128006935967.31311,-12318959234.44,9.623665421993078,DE/FR,JP,ReimbursementReimbursementReimbursementReimbursementReimbursementReimbursementReimbursementReimbursementReimbursementReimbursementReimbursement
161407040,eY,2026-2-30,27-Jul-2026 (local),,   ,BR,Q.T1HRO93EQZ/HH58DIZ4P55.,& SpA Partners,NL,8N.I5L,SEK,-4 805.41,210698090130.05765,,AE,Nederland,Reimbursement
0091899575,DyK,07/01/2020,2026-05-08T25:61:61,20170815,Limited Oy NVLimited Oy NVLimited Oy NVLimited Oy NVLimited Oy NVLimited Oy NV,NLD,UC7XI77/B,& Global GmbH Limited Trading;,NO,NO58DM3,GBP,367067.06,36706.71,0.1,AE,PL,Rounding diff
443958774,409,02/12/2018,"May 35, 2026",20201026,K.K.	B.V.	&	SpA,Brazil,BE73,,France,DE842053976,EUR,"£- 123,45",185526965720.601,0.2,PL,IE,Intra-EU acquisitionIntra-EU acquisitionIntra-EU acquisitionIntra-EU acquisitionIntra-EU acquisitionIntra-EU acquisitionIntra-EU acquisitionIntra-EU acquisitionIntra-EU acquisitionIntra-EU acquisitionIntra-EU acquisitionIntra-EU acquisitionIntra-EU acquisition
TXN-Rj4Z3QGw,gB,2027-03-31,2026/99/01,"2015-12-07""",GmbH Co K.K. Global™£,IE,IEKWGBOML9E0R7LFVP@FJ0 IEKWGBOML9E0R7LFVP@FJ0,Limited Limited,🇳🇱,PL-66425152685-BO,0,51982.86,0.00,0,PL,???,Rounding diff
000516984448,359,13/13/2013,20260804,2016-07-19,Holdings  B.V.,NL,NLWYKMPK790K57,BV B.V.;,???,gb574486971,€,ten%,378677.22,7.000000000000001,IND,GB,"¥Export zero-rated
™"
0170626557,SllA,2018/06/30,2026-04-31,2026/07/13,"Global Oy & Global NV,Global Oy & Global NV,Global Oy & Global NV,Global Oy & Global NV,Global Oy & Global NV,",  ,Z1KJ93,"😀Sarl
Limited
GmbH",  ,UNKNOWN,CHF,"""123.45""",148267.54,25.0,BR,IN,Reverse charge applies
)>\|/;$&/@&/,210,2026-00-10,21-Jun-2015,01/12/2018,Global Inc,ZA,ZASX83QVAT,"Inc , Trading , K.K. , B.V.",PL,PLJ27JO0GJ PLJ27JO0GJ,EUR,443857.45,44381.72,10.0,CN,United States,Software license
630430578,432,2020-04-07 05:51:04,12/04/2026,2027-07-12,Limited Co,FR,FR33079726222MU33079726222,Inc & & LLC SpA,Netherlands,BRRCQVUVAH4K05M1,0,118245.27,24838.68, 0.2100 ,ES,Germany,Import VATImport VATImport VATImport VATImport VATImport VAT
613711920,116,10/21/2017,08-05-26,30-Jun-2022,& K.K. Inc Global Co,GB,GBHXVLMPE2UDCI,"K.K.
GmbH
SpA
Partners
Global;",IN,VAT/HCXLAEXV, USD,0xFF,12..34,0.21,BR,JP,???
,lM,00/00/0000,11/02/2026,2026-13-01,"& Holdings K.K.	🚀",N L,VAT.9Q,x2ag9wN_rVhiFX7xKOBTA1,NO,NOVIVX600RSZ40 NOVIVX600RSZ40,CNY, ,"'99,99'",0.0%,IN,IN,"Intra-EU acquisition""unclosed"
365220222,83,2026/99/01,20170123,2026-13-01,"₹Sarl Co Partners NV Trading®😀",AE,AEJELFY4FALR,"&
Partners""&
Partners""",BE,P9ZQVKAWZM9DG1N P9ZQVKAWZM9DG1N,SEK,485368.60,-2420903.27,-4.987762442860511,SE,United Kingdom,Payment fee
FLH9HXMZnutBe9jc, ,2019-05-02 18:10:39Z,2017-07-12 (local),2017-05-25 20:46:33,"NV , Inc , S.A.",Germnay,INEZOQYFNN INEZOQYFNN,QwAB8nIBZwH,N L,"
CN21IIBCIQ",,"198461,21",-180660.80,-0.9103078876851249,GB,CA,Export zero-ratedtab	inside
846944601,-43,,10/04/2015,null,NV	Co,FR,C_IJCKXI6_P-I.J,SpA GmbH Sarl NV &,SWE,WNQ.__HZ96A-RB2,USD,97717.13,19534.66,0.2,DE,SE,Exempt supply
438848722,59.12,2017/02/15,31/02/2026,11/29/2027,Trading  BV  BV  B.V.  Holdings,Norway,N,"NV
S.A.
Trading
NV",United States,US0S,SEK,"1,2,3",454141.73,-2.6507992987394906,Netherlands,FR,Software license
0795717043,167,2026-05-08T25:61:61,20210628,null,NV BV Partners Oy &,UAE,VATHG/6_1T5Y,B.V. &B.V. &B.V. &B.V. &B.V. &,ARE,BE9TGJEB4BJIUXPW,INR,717699862368.1498,71762809238186.11,9999,🇳🇱,GB,"Import VAT | WXlx9pDYMtc7ASq6ZqZrbmK4O0J65gDP5ETtab	inside€
"
0751429956,r6PqBr,null,"26-Dec-2023""",18/12/2021,"Global , & , SpA©
",IT,IT 89213393074128,GmbH Limited,,™€₹N9HR_/AXL.J4DJX,PLN,-371607406764.22437,-371607406765.13,100,ES,DE,😀£Adjustment / credit notetab	inside™😀
 ,9,2026/99/01,2023-05-09,2026-05-08T25:61:61,Holdings	K.K.	Global	B.V.,Netherland,ZV8JB84.JTZ3D75,BV Sarl NV GmbH Oy,ZA,ZAX2HRUCNSL0LS,EURO,380465.86,35969.57,,SE,AU,Reverse charge applies
"{]?{,,&|,",IqK,02/07/2027,2026-04-31,27/09/2026,GmbH BV,AE,UNKNOWN,   ,BR,BR9LB968JNR4N5,0,454664.56,277624.17,N/A,Nederland,BE,Rounding diff
954454706,295,2018-11-15,09/14/2020,2026-13-01,😀🚀Oy Global BV Co,AE,🚀₹AEQEI01GN0,"S.A. , S.A. , SpA",ITA,GB93JH635FWJTB,0,-40906210592.56738,€-8181242118.51,0.2,SWE,Japan,Office supplies
0631318001,,   ,2022/11/13,26-Dec-2023,"SpA
NV
Oy
Inc'",FR,FR57999759397902??,GmbH Holdings NV LLC,IT,VATIT46JUEOUIWB5W0R,0,12..34,--123,21%%,PL,DE/FR,Reimbursement | RSF44jNic2hnCJx0vyGNBfBChBdZcN6GWXxTJ1R pFdnq₹🚀¥
!}%|!,,08-05-26,2027-05-06 00:57:05 UTC,12/27/2018,S.A. & BV &,AU,E5V,   ,JP,JPZS3VZIKIM9APGP2EYP7N,CNY,99854049719.08682,8986864478.17,0.09,NOR,BR,Export zero-rated | Y2MJkTPRN aAIGLkTjhvX7ILgnQV7O80X4AMxGGII
132074856,Hz,2027-11-16 14:21:58,2026/99/01,07/07/2018,Partners Sarl Global LLC Global,SE,LRI LRI,"GmbH
K.K.
Global",BE,BESHQPX,INR,83 432.25,-222589.06,-2.6679019257717034,United States,ES,Intra-EU acquisition
^];,382,2022-01-16 01:36:47 (local),24/04/2019,00/00/0000,& Sarl,Brazil,ES9T2L494Z,,Nederland,UNKNOWN,PLN,477824.03,€-918743.90,-1.9227546531522473,AUS,Netherland,???
429542575,LZ2L,1/1/1,,03/22/2024,B.V. Global NV Partners Holdings,CA,SKQH7UGAINGK7FIZETH-1Z2/N,"Holdings
K.K.
GmbH'",Holland,.TCIK901JK3QX30HSZE7NJM/.,0,186737.43,"€405,954.77",0,CA,CA,"₹🚀Manual journal entry
😀£"
0053617511,OjS,2026-04-31,   ,2026-13-01,SpA NV HoldingsSpA NV Holdings,ZA,ZAXDVA8WDOMV,BV LLC,PL,PLFX07N,EUR,486771669704.35425,102222050637.91, 0.2100 ,United Kingdom,BE,Reimbursement
*;{^()[>@[(,438,2024/03/19,2021-02-16 21:50:41,20170430,   ,,WKE.L2,NV Global Global NVNV Global Global NVNV Global Global NVNV Global Global NVNV Global Global NV,ES,ES63994598448639945984,CHF,12..34,29839.91 EUR,"0,21",AUS,PL,Reimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CIReimbursement | R5ThlQO3xq0CI
$#}{%$<?),NaN,20240526,"May 35, 2026",20191120 UTC,Sarl	Partners	BV	S.A.	BV,Italy,WZSY-E3BGW-YHZW,SpA	Sarl	Global	BV,DE/FR,UNKNOWN,INR,92631.45,5.74,0,Nederland,GB,Freight charges
508291387,kuYM5J,2017/01/27,2026.05.08.12.99.00,20171116,Sarl LLC Limited LLC CoSarl LLC Limited LLC CoSarl LLC Limited LLC CoSarl LLC Limited LLC Co,,AU26M38DKS8XU1P2URHKU5VAT,"LLC , S.A. , SpA , GmbH",DEU,T17O0-,GBP,93000.92,93000.92,100,ZAF,DE,N/A
196366640,o,20210415,null,2026-05-08T25:61:61,B.V. Sarl Oy,  ,DE 64172069,"K.K.
Sarl
Co
GmbH
Co",PL,😀PL4OK8XQN8DTVB,€,"391226,00",GBP 134175.00,VAT21,CN,Nederland,Payment fee
%((;:()]?.,-1,"""2018-10-29Z",02/18/2024,   ,K.K. Holdings K.K. Trading NV,AU,HA-BJF,S.A.	Global	S.A.	SpA,IE,ie538083472719,NOK,"71,290.67%",371065.50,0.25,ZAF,FR,Manual journal entry | sV7jc5pOKZbCEkp
<:,191,15-May-2018,2015-10-14,2026-05-08T25:61:61,Global Inc NV Global,DE/FR,N/A,SpA Global K.K. Inc Trading,N L,ITHNMS64SBSVKW,JPY¥,one hundred,one hundred,25.0,Italy,???,Software license
$}}#|!(<!|[.,177,05.08.2019,2019/11/01,20190914,Co Inc,IE,IE0876106598QQ0876106598,"¥😀& GmbH Oy /*test*/",IT,8235WH,SEK,"""123.45""",one hundred,0.21,FR,NLD ,Reverse charge applies | hvBDR1UMZ4wYoQP6x9bJ54n9HoEgtab	inside
